dataset_key	pattern_layer	category	extraction_pattern	registry_prefix	mapping_type	mapping_source	registry_status	registry_name	registry_pattern	registry_deprecated	current_uri	review_note
ensembl_gene	safe	Gene	\b(?:(?:(?P<id1>ENS[A-Z]*G\d{11})(?:\.\d+)?)|(?:(?P<id3>MGP_[A-Za-z0-9]+_G\d{7})(?:\.\d+)?)|(?P<id4>LRG_\d+)|(?P<id5>WBGene\d{8})|(?P<id10>t[A-Z]\(?:[ACGUX]{3}\)[A-Z]\d?))\b	ensembl	direct	explicit_pattern_uri	found	Ensembl	^((ENS[FPTG]\d{11}(\.\d+)?)|(FB\w{2}\d{7})|(Y[A-Z]{2}\d{3}[a-zA-Z](\-[A-Z])?)|([A-Z_a-z0-9]+(\.)?(t)?(\d+)?([a-z])?))$	False	http://identifiers.org/ensembl/	
ensembl_protein	safe	Protein	\b(?:(?:(?P<id1>ENS[A-Z]*P\d{11})(?:\.\d+)?)|(?:(?P<id3>MGP_[A-Za-z0-9]+_P\d{7})(?:\.\d+)?)|(?P<id4>LRG_\d+p\d+(?:-\d)?))\b	ensembl	split	reviewed_override	found	Ensembl	^((ENS[FPTG]\d{11}(\.\d+)?)|(FB\w{2}\d{7})|(Y[A-Z]{2}\d{3}[a-zA-Z](\-[A-Z])?)|([A-Z_a-z0-9]+(\.)?(t)?(\d+)?([a-z])?))$	False	http://identifiers.org/ensembl/	
ensembl_transcript	safe	Transcript	\b(?:(?:(?P<id1>ENS[A-Z]*T\d{11})(?:\.\d+)?)|(?:(?P<id3>MGP_[A-Za-z0-9]+_T\d{7})(?:\.\d+)?)|(?P<id4>LRG_\d+t\d+(?:-\d)?)|(?P<id7>Q\d{4}_[a-z]{1,3}RNA)|(?P<id9>snR\d+-?[A-Za-z]?_sno?RNA)|(?P<id10>t[A-Z]\(?:[ACGUX]{3}\)[A-Z]\d?_tRNA))\b	ensembl	split	reviewed_override	found	Ensembl	^((ENS[FPTG]\d{11}(\.\d+)?)|(FB\w{2}\d{7})|(Y[A-Z]{2}\d{3}[a-zA-Z](\-[A-Z])?)|([A-Z_a-z0-9]+(\.)?(t)?(\d+)?([a-z])?))$	False	http://identifiers.org/ensembl/	
flybase_gene	safe	Gene	\bFBgn\d{7}\b	fb	split	reviewed_override	found	FlyBase	^FB\w{2}\d{7}$	False	http://identifiers.org/fb/	
flybase_protein	safe	Protein	\bFBpp\d{7}\b	fb	split	reviewed_override	found	FlyBase	^FB\w{2}\d{7}$	False	http://identifiers.org/fb/	
flybase_transcript	safe	Transcript	\bFBtr\d{7}\b	fb	split	reviewed_override	found	FlyBase	^FB\w{2}\d{7}$	False	http://identifiers.org/fb/	
gea	safe	Experiment	\b(?P<id>E-GEAD-\d+)\b		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
geo_sample	safe	Sample	\b(?P<id>GSM\d+)\b	geo	split	reviewed_override	found	GEO	^G(PL|SM|SE|DS)\d+$	False	http://identifiers.org/geo/	
geo_series	safe	Project	\b(?P<id>GSE\d+)\b	geo	split	reviewed_override	found	GEO	^G(PL|SM|SE|DS)\d+$	False	http://identifiers.org/geo/	
glycomotif	safe	Glycan	\b(?:GM\.)(?P<id>G[0-9]{5}[A-Z]{2})\b		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
glytoucan	safe	Glycan	\b(?P<id>G[0-9]{5}[A-Z]{2})\b	glytoucan	direct	explicit_pattern_uri	found	GlyTouCan	^G[0-9]{5}[A-Z]{2}$	False	http://identifiers.org/glytoucan/	
go	safe	Function	\bGO[:_](?P<id>\d{7})\b	go	direct	registry_prefix_match	found	Gene Ontology	^GO:\d{7}$	False	http://identifiers.org/go/	
hgnc	safe	Gene	\b(?:(?:HGNC|hgnc):)(?P<id>\d{1,5})\b	hgnc	direct	registry_prefix_match	found	HGNC	^((HGNC|hgnc):)?\d{1,5}$	False	http://identifiers.org/hgnc/	
hmdb	safe	Compound	\b(?:hmdb:)(?P<id>HMDB\d+)\b	hmdb	direct	registry_prefix_match	found	HMDB	^HMDB\d+$	False	http://identifiers.org/hmdb/	
hp_inheritance	safe	Classification	\bHP[:_](?P<id>\d{7})\b	hp	split	reviewed_override	found	Human Phenotype Ontology	^HP:\d{7}$	False	http://identifiers.org/hp/	
hp_phenotype	safe	Phenotype	\bHP[:_](?P<id>\d{7})\b	hp	split	reviewed_override	found	Human Phenotype Ontology	^HP:\d{7}$	False	http://identifiers.org/hp/	
inchi_key	safe	Compound	\b(?P<id>[A-Z]{14}\-[A-Z]{10}(?:\-[A-Z])?)\b	inchikey	direct	explicit_pattern_uri	found	InChIKey	^[A-Z]{14}\-[A-Z]{10}(\-[A-Z])?$	False	http://identifiers.org/inchikey/	
insdc	safe	Gene	\b(?:insdc:)(?P<id>[A-Z]\d{5}|[A-Z]{2}\d{6}|[A-Z]{4}\d{8}|[A-J][A-Z]{2}\d{5}|[A-Z]{4,}\d{9})(?:\.\d+)?\b	ena.embl	alias	reviewed_override	found	ENA	^[A-Z]+[0-9]+(\.\d+)?$	False	http://identifiers.org/insdc/	
insdc_master	safe	Project	\b(?:insdc:)(?P<id>[A-Z]{4,6}\d{8,10})(?:\.\d+)?\b	insdc	direct	explicit_pattern_uri	found	Nucleotide Sequence Database	^([A-Z]\d{5}|[A-Z]{2}\d{6}|[A-Z]{4,6}\d{8,10}|[A-J][A-Z]{2}\d{5})(\.\d+)?$	False	http://identifiers.org/insdc/	
intact	safe	Interaction	\b(?P<id>EBI\-[0-9]+)\b	intact	direct	registry_prefix_match	found	IntAct	^EBI\-[0-9]+$	False	http://identifiers.org/intact/	
interpro	safe	Domain	\b(?P<id>IPR\d{6})\b	interpro	direct	registry_prefix_match	found	InterPro	^IPR\d{6}$	False	http://identifiers.org/interpro/	
jga_dataset	safe	Project	\b(?P<id>JGAD\d{6})\b		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
jga_study	safe	Project	\b(?P<id>JGAS\d{6})\b		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
